"DateTime","Number of sales","Sales USD"
"2018-02-27 00:00:00",8463,166576.27
"2018-02-28 00:00:00",7723,127073.7
"2018-03-01 00:00:00",6152,96093.27
"2018-03-02 00:00:00",4405,79502.39
"2018-03-03 00:00:00",4443,84745.63
"2018-03-04 00:00:00",5147,215205.73
"2018-03-05 00:00:00",4417,135039.72
"2018-03-06 00:00:00",3812,120306.73
"2018-03-07 00:00:00",4802,166563.9
"2018-03-08 00:00:00",6747,102087.07
"2018-03-09 00:00:00",5952,90535.32
"2018-03-10 00:00:00",9163,97557.33
"2018-03-11 00:00:00",4438,66333.4
"2018-03-12 00:00:00",4834,69282.98
"2018-03-13 00:00:00",3758,63844.54
"2018-03-14 00:00:00",4451,57168.11
"2018-03-15 00:00:00",3936,40806.5
"2018-03-16 00:00:00",3129,48250.14
"2018-03-17 00:00:00",3766,52152.46
"2018-03-18 00:00:00",2824,39804.36
"2018-03-19 00:00:00",3127,52406.85
"2018-03-20 00:00:00",3061,215658.43
"2018-03-21 00:00:00",3381,259925.53
"2018-03-22 00:00:00",3402,140031.97
"2018-03-23 00:00:00",3156,293098.97
"2018-03-24 00:00:00",3176,118062
"2018-03-25 00:00:00",6329,114474.62
"2018-03-26 00:00:00",3049,96734.74
"2018-03-27 00:00:00",3454,105156.94
"2018-03-28 00:00:00",3672,190407.66
"2018-03-29 00:00:00",3850,89387.81
"2018-03-30 00:00:00",5768,214140.06
"2018-03-31 00:00:00",3171,79100.27
"2018-04-01 00:00:00",2912,74443.7
"2018-04-02 00:00:00",3208,61236.75
"2018-04-03 00:00:00",3245,77393.4
"2018-04-04 00:00:00",2995,50264.48
"2018-04-05 00:00:00",2756,63327.34
"2018-04-06 00:00:00",3813,68255.17
"2018-04-07 00:00:00",2741,42418.58
"2018-04-08 00:00:00",7486,71250.66
"2018-04-09 00:00:00",5277,48586.14
"2018-04-10 00:00:00",3279,53182.17
"2018-04-11 00:00:00",3470,70790.77
"2018-04-12 00:00:00",2943,44221.25
"2018-04-13 00:00:00",6183,92693.81
"2018-04-14 00:00:00",4886,85832.38
